item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,afw_intro,,user,Welcome,no_mobile,off,off,,,,
0,tde_survey,afw_demo.csv,user,,,,,,,,
0,afw_caffeine,,user,,,,,,,,
0,afw_sleep,,user,,,,,,,,
0,task_bookend,,user,Start Breakout,,,,Breakout Instructions,"<b>Thank you for answering those questions.</b>
<br><br>
The first game is Breakout, which will be displayed on the next screen. 
<br><br>
You will see a box in the centre of the screen that forms the playing area. At the bottom of the box, you will see a ball attached to a paddle. At the top of the box, you will see rows of blocks. Press the spacebar to release the ball towards the blocks and start the game. The ball will travel up the box and bounce off the blocks, destroying them, heading back towards the paddle. Use the left and right arrow keys, move the paddle so that the ball bounces off it back towards the blocks.  Depending on where the ball lands on the paddle, the angle that it bounces off changes. For example, landing on the left side will bounce the ball up diagonally to the left. If the ball passes the paddle, and hits the bottom of the box, you lose a life.
<br><br>
You score points for each block that you break and the aim of the game is to gain as many points as possible. Your total points (and lives) are displayed at the top of the box. When all 3 lives are lost, the game restarts with points reverting to 0, so you can have another attempt. 
<br><br>
This game lasts 3 minutes. The timer is visible underneath the game and the bar empties to reflect the time remaining. When the bar turns red, this indicates that there is very limited time remaining. The timer will continue going down even if the game restarts. Once the timer runs out the game will end, and you will automatically be taken to the next screen. 
<br><br>
The highest scores of the research team are: Aaliyah: 8300, Chris: 7000, Phil: 6700
<br><br>
To start the game, please press the blue start button below. Try to see how many points you can get without losing all your lives! Good luck and have fun!",,
0,breakout,,180,,,,,,,,
0,task_bookend,,user,Start Questionnaires,,,,Post-game measures,"<b>Thank you for playing the Breakout.</b><br><br>Please complete the following two questionnaires regarding your frustration and attention while playing Breakout.
<br><br>
When you are ready, please start 'Start Questionnaires' below",,
0,tde_survey,post-task_attention_scale.csv,user,,,q1,,,,,
0,tde_survey,state_frustration_scale.csv,user,,,q1,,,,,
0,task_bookend,,user,Start Word Search,,,ws1,Word Search Instructions,"<b>Thank you for completing the questionnaires. </b>
<br><br>
The next game is a word search, which will be displayed on the next screen. 
<br><br>
On the next screen, a grid of letters will appear. <b>There are 10 familiar words about household items that you would have encountered before, hidden in the word search</b>. Words can appear horizontally, vertically or diagonally and are displayed as a list on the right of the grid. 
<br><br>
When you think you’ve found a word in the grid, click and drag over the letters using the mouse to create a yellow line. If the selected letters are correct, the line will turn green, and the word is removed from the list on the right of the grid. If the letters selected are not correct, the line will turn red and disappear. At the top of the screen, the number of words found is displayed.
<br><br>
The aim is to find all 10 words within 5 minutes. The timer is displayed in the same way as in Breakout, as a bar underneath the letter grid. The bar empties, to reveal the amount of time left. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end, and your score will be displayed.
<br><br>
If you have located less than half the words by when the countdown timer reaches halfway, a hint button will button will appear under the list of words to find. When pressed, this will put a square around an area of the grid where a word is located. After a few seconds, this square will disappear. You only get 1 hint.
<br><br>
To start the wordsearch, please click the blue start button below. Good luck and have fun!",,
